ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
10719	Hs.109778	WD repeat domain 48		WDR48	N64681	
10720	Hs.407358	Full length insert cDNA clone YZ87H02		NA	N64684	
10721	Hs.137282	Zinc finger protein 526		ZNF526	N64706	
10722	Hs.593614	Echinoderm microtubule associated protein like 4		EML4	N64731	
10723	Data not found			NA	N64741	
10724	Hs.656461	Low density lipoprotein-related protein 1B (deleted in tumors)	"LRP1B belongs to the low density lipoprotein (LDL) receptor gene family. These receptors play a wide variety of roles in normal cell function and development due to their interactions with multiple ligands (Liu et al., 2001).[supplied by OMIM]"	LRP1B	N64746	
10725	Hs.374043	Additional sex combs like 1 (Drosophila)	"In Drosophila, the Additional sex combs (Asx) gene encodes a chromatin-binding protein required for normal determination of segment identity in the developing embryo. The protein is a member of the Polycomb group of proteins, which are necessary for the maintenance of stable repression of homeotic and other loci. The protein is thought to disrupt chromatin in localized areas, enhancing transcription of certain genes while repressing the transcription of other genes. Although the function of the protein encoded by this gene is not known, it does show some sequence similarity to the protein encoded by the Drosophila Asx gene."	ASXL1	N64780	
10726	Hs.500695	Ligand dependent nuclear receptor corepressor	"LCOR is a transcriptional corepressor widely expressed in fetal and adult tissues that is recruited to agonist-bound nuclear receptors through a single LxxLL motif, also referred to as a nuclear receptor (NR) box.[supplied by OMIM]"	LCOR	N64794	
10727	Hs.494622	"Transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)"	"The protein encoded by this gene forms a heteromeric complex with type II TGF-beta receptors when bound to TGF-beta, transducing the TGF-beta signal from the cell surface to the cytoplasm. The encoded protein is a serine/threonine protein kinase. Mutations in this gene have been associated with Loeys-Dietz aortic aneurysm syndrome (LDAS)."	TGFBR1	N64801	
10728	Hs.370725	Oxysterol binding protein-like 1A	"This gene encodes a member of the oxysterol-binding protein (OSBP) family, a group of intracellular lipid receptors. Most members contain an N-terminal pleckstrin homology domain and a highly conserved C-terminal OSBP-like sterol-binding domain, although some members contain only the sterol-binding domain. Transcript variants derived from alternative promoter usage and/or alternative splicing exist; they encode different isoforms."	OSBPL1A	N64837	
10729	Hs.654487	Folate hydrolase (prostate-specific membrane antigen) 1	"This gene encodes a type II transmembrane glycoprotein belonging to the M28 peptidase family. Three functionally distinct proteins are encoded, including folylpoly-gamma-glutamate carboxypeptidase in the intestine, N-acetylated alpha-linked acidic dipeptidase 1 in the brain, and prostate-specific membrane antigen in the prostate. A mutation in the intestinal form may be associated with impaired intestinal absorption of dietary folates, resulting in low blood folate levels and consequent hyperhomocysteinemia. The form expressed in the brain may be involved in a number of pathological conditions associated with glutamate excitotoxicity. The prostate form is up-regulated in cancerous cells and is used as an effective diagnostic and prognostic indicator of prostate cancer. This gene likely arose from a duplication event of a nearby chromosomal region. Alternative splicing gives rise to multiple transcript variants."	FOLH1	N64840	
10730	Hs.370503	FYN binding protein (FYB-120/130)		FYB	N64862	
10731	Hs.476402	Rho guanine nucleotide exchange factor (GEF) 3	Rho GTPases play a fundamental role in numerous cellular processes that are initiated by extracellular stimuli that work through G protein coupled receptors. The encoded protein may form complex with G proteins and stimulate Rho-dependent signals. This protein is similar to the NET1A protein.	ARHGEF3	N65950	
10732	Hs.408241	Nucleoporin like 2		NUPL2	N65968	
10733	Data not found			NA	N65971	
10734	Hs.124696	"3-hydroxybutyrate dehydrogenase, type 2"		BDH2	N65985	
10735	Data not found			NA	N66001	
10736	Hs.591845	Tumor suppressor candidate 3	"This gene is a candidate tumor suppressor gene. It is located within a homozygously deleted region of a metastatic prostate cancer. The gene is expressed in most nonlymphoid human tissues including prostate, lung, liver, and colon. Expression was also detected in many epithelial tumor cell lines. Two transcript variants encoding distinct isoforms have been identified for this gene."	TUSC3	N66008	
10737	Hs.194718	"Zinc finger, RAN-binding domain containing 2"		ZRANB2	N66014	
10738	Hs.435967	"Transcriptional adaptor 1 (HFI1 homolog, yeast)-like"		TADA1L	N66024	
10739	Hs.502302	Catalase		CAT	N66025	
10740	Hs.567367	Early endosome antigen 1		EEA1	N66043	
10741	Hs.191510	"Butyrophilin, subfamily 3, member A1"		BTN3A1	N66053	
10742	Hs.603111	Rho family GTPase 2		RND2	N66093	
10743	Hs.435557	Kinesin family member 5C		KIF5C	N66104	
10744	Hs.406917	Glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1		QRSL1	N66117	
10745	Hs.369762	Enolase superfamily member 1		ENOSF1	N66132	
10746	Hs.437075	CAMP responsive element binding protein 5	"The product of this gene belongs to the CRE (cAMP response element)-binding protein family. Members of this family contain zinc-finger and bZIP DNA-binding domains. The encoded protein specifically binds to CRE as a homodimer or a heterodimer with c-Jun or CRE-BP1, and functions as a CRE-dependent trans-activator. Alternatively spliced transcript variants encoding different isoforms have been identified."	CREB5	N66138	
10747	Data not found			NA	N66139	
10748	Hs.390567	"FYN oncogene related to SRC, FGR, YES"	This gene is a member of the protein-tyrosine kinase oncogene family. It encodes a membrane-associated tyrosine kinase that has been implicated in the control of cell growth. The protein associates with the p85 subunit of phosphatidylinositol 3-kinase and interacts with the fyn-binding protein. Alternatively spliced transcript variants encoding distinct isoforms exist.	FYN	N66144	
10749	Hs.574978	Transcribed locus		NA	N66156	
10750	Hs.351875	Cytochrome c oxidase subunit VIc	"Cytochrome c oxidase (COX), the terminal enzyme of the mitochondrial respiratory chain, catalyzes the electron transfer from reduced cytochrome c to oxygen. It is a heteromeric complex consisting of 3 catalytic subunits encoded by mitochondrial genes and multiple structural subunits encoded by nuclear genes. The mitochondrially-encoded subunits function in electron transfer, and the nuclear-encoded subunits may be involved in the regulation and assembly of the complex. This nuclear gene encodes subunit VIc, which has 77% amino acid sequence identity with mouse COX subunit VIc. This gene is up-regulated in prostate cancer cells. A pseudogene COX6CP1 has been found on chromosomes 16p12."	COX6C	N66158	
10751	Hs.463439	Sperm associated antigen 9	Extracellular signals are transduced into cells through mitogen-activated protein kinases. The structural organization of these kinases into specific signaling domains is facilitated by scaffolding proteins involved in closely tethering different kinases so that successive phosphorylation events can occur. The protein encoded by this gene is a scaffolding protein that brings together mitogen-activated protein kinases and their transcription factor targets for the activation of specific signaling pathways. This gene which is abundantly expressed in testicular haploid germ cells encodes a protein that is recognized by sperm-agglutinating antibodies and implicated in infertility. Alternatively spliced variants that encode different protein isoforms have been described but the full-length sequences of only two have been determined.	SPAG9	N66167	
10752	Hs.653415	Transcribed locus		NA	N66177	
10753	Hs.124951	"Family with sequence similarity 84, member B"		FAM84B	N66178	
10754	Hs.649064	Transcribed locus		NA	N66197	
10755	Hs.533474	"Protein phosphatase 1, regulatory (inhibitor) subunit 8"	"This gene, through alternative splicing, encodes three different isoforms. Two of the protein isoforms encoded by this gene are specific inhibitors of type 1 serine/threonine protein phosphatases and can bind but not cleave RNA. The third protein isoform lacks the phosphatase inhibitory function but is a single-strand endoribonuclease comparable to RNase E of E. coli. This isoform requires magnesium for its function and cleaves specific sites in A+U-rich regions of RNA."	PPP1R8	N66208	
10756	Hs.2780	Jun D proto-oncogene	"The protein encoded by this intronless gene is a member of the JUN family, and a functional component of the AP1 transcription factor complex. It has been proposed to protect cells from p53-dependent senescence and apoptosis. Alternate translation initiation site usage results in the production of different isoforms."	JUND	N66278	
10757	Hs.519776	Transcribed locus		NA	N66296	
10758	Hs.567417	Matrix metallopeptidase 24 (membrane-inserted)	"Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Most MMP's are secreted as inactive proproteins which are activated when cleaved by extracellular proteinases. However, the protein encoded by this gene is a member of the membrane-type MMP (MT-MMP) subfamily; each member of this subfamily contains a potential transmembrane domain suggesting that these proteins are expressed at the cell surface rather than secreted. This protein activates MMP2 by cleavage. The gene has previously been referred to as MMP25 but has been renamed matrix metalloproteinase 24 (MMP24)."	MMP24	N66329	
10759	Hs.516629	"Islet cell autoantigen 1,69kDa-like"		ICA1L	N66336	
10760	Hs.597217	Transcribed locus		NA	N66354	
10761	Hs.390171	"Collagen, type XI, alpha 2"	"This gene encodes one of the two alpha chains of type XI collagen, a minor fibrillar collagen. It is located on chromosome 6 very close to but separate from the gene for retinoid X receptor beta. Type XI collagen is a heterotrimer but the third alpha chain is a post-translationally modified alpha 1 type II chain. Proteolytic processing of this type XI chain produces PARP, a proline/arginine-rich protein that is an amino terminal domain. Mutations in this gene are associated with type III Stickler syndrome, otospondylomegaepiphyseal dysplasia (OSMED syndrome), Weissenbacher-Zweymuller syndrome, and autosomal dominant nonsyndromic sensorineural 13 deafness. Three transcript variants encoding different isoforms have been identified for this gene."	COL11A2	N66396	
10762	Hs.659652	Transcribed locus		NA	N66399	
10763	Hs.502511	Spleen focus forming virus (SFFV) proviral integration oncogene spi1		SPI1	N66572	
10764	Data not found			NA	N66580	
10765	Hs.656771	Transcribed locus		NA	N66591	
10766	Hs.510324	"Quaking homolog, KH domain RNA binding (mouse)"		QKI	N66624	
10767	Hs.132513	Hydroxysteroid (17-beta) dehydrogenase 12		HSD17B12	N66644	
10768	Hs.592209	Similar to RIKEN cDNA 2210021J22		LOC150383	N66686	
10769	Hs.596517	MRNA; cDNA DKFZp586N0121 (from clone DKFZp586N0121)		NA	N66734	
10770	Data not found			NA	N66839	
10771	Data not found			NA	N66843	
10772	Hs.653441	Transcribed locus		NA	N66845	
10773	Hs.205952	Full-length cDNA clone CS0DE011YO20 of Placenta of Homo sapiens (human)		NA	N66857	
10774	Hs.597226	Transcribed locus		NA	N66866	
10775	Hs.597229	Transcribed locus		NA	N66925	
10776	Data not found			NA	N66933	
10777	Hs.262858	Partner of NOB1 homolog (S. cerevisiae)		PNO1	N66948	
10778	Hs.516700	"Cytochrome P450, family 27, subfamily A, polypeptide 1"	"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This mitochondrial protein oxidizes cholesterol intermediates as part of the bile synthesis pathway. Since the conversion of cholesterol to bile acids is the major route for removing cholesterol from the body, this protein is important for overall cholesterol homeostasis. Mutations in this gene cause cerebrotendinous xanthomatosis, a rare autosomal recessive lipid storage disease."	CYP27A1	N66957	
10779	Data not found			NA	N66985	
10780	Hs.491805	Thymus high mobility group box protein TOX	"Some high-mobility group (HMG) box proteins (e.g., LEF1; MIM 153245) contain a single HMG box motif and bind DNA in a sequence-specific manner, while other members of this family (e.g., HMG1; MIM 163905) have multiple HMG boxes and bind DNA in a sequence-independent but structure-dependent manner. All HMG box proteins are able to induce a sharp bend in DNA. TOX contains a single HMG box motif.[supplied by OMIM]"	TOX	N66992	
10781	Data not found			NA	N67006	
10782	Hs.268326	"C-type lectin domain family 2, member D"	"This gene encodes a member of the natural killer cell receptor C-type lectin family. The encoded protein inhibits osteoclast formation and contains a transmembrane domain near the N-terminus as well as the C-type lectin-like extracellular domain. Several alternatively spliced transcript variants have been identified, but the full-length nature of every transcript has not been defined."	CLEC2D	N67007	
10783	Hs.133421	Leukemia inhibitory factor receptor alpha	"The leukemia inhibitory factor is a polyfunctional cytokine that affects the differentiation, survival, and proliferation of a wide variety of cells in the adult and the embryo. LIF action appears to be mediated through a high-affinity receptor complex composed of a low-affinity LIF binding chain (LIF receptor) and a high-affinity converter subunit, gp130. Both LIFR and gp130 are members of a family of cytokine receptors that includes components of the receptors for the majority of hematopoietic cytokines and for cytokines that affect other systems, including the ciliary neurotrophic factor, growth hormone and prolactin."	LIFR	N67017	
10784	Data not found			NA	N67034	
10785	Hs.30619	"TBC1 domain family, member 25"		TBC1D25	N67038	
10786	Hs.119882	Cyclin-dependent kinase 6	"The protein encoded by this gene is a member of the cyclin-dependent protein kinase (CDK) family. CDK family members are highly similar to the gene products of Saccharomyces cerevisiae cdc28, and Schizosaccharomyces pombe cdc2, and are known to be important regulators of cell cycle progression. This kinase is a catalytic subunit of the protein kinase complex that is important for cell cycle G1 phase progression and G1/S transition. The activity of this kinase first appears in mid-G1 phase, which is controlled by the regulatory subunits including D-type cyclins and members of INK4 family of CDK inhibitors. This kinase, as well as CDK4, has been shown to phosphorylate, and thus regulate the activity of, tumor suppressor protein Rb."	CDK6	N67039	
10787	Hs.659666	Transcribed locus		NA	N67041	
10788	Hs.659759	Transcribed locus		NA	N67268	
10789	Hs.544498	Transcribed locus		NA	N67274	
10790	Hs.154329	Transmembrane protein 16E		TMEM16E	N67295	
10791	Hs.162852	Hook homolog 3 (Drosophila)	"Hook proteins are cytosolic coiled-coil proteins that contain conserved N-terminal domains, which attach to microtubules, and more divergent C-terminal domains, which mediate binding to organelles. The Drosophila Hook protein is a component of the endocytic compartment.[supplied by OMIM]"	HOOK3	N67300	
10792	Hs.23862	"Phytoceramidase, alkaline"		PHCA	N67336	
10793	Hs.166011	"Catenin (cadherin-associated protein), delta 1"		CTNND1	N67495	
10794	Hs.114062	"Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A"	"The protein encoded by this gene contains a characteristic catalytic motif of the protein tyrosine phosphatases (PTPs) family. The PTP motif of this protein has the highly conserved arginine residue replaced by a proline residue; thus it may represent a distinct class of PTPs. Members of the PTP family are known to be signaling molecules that regulate a variety of cellular processes. This gene was found to preferentially expressed in both adult and fetal heart. A much lower expression level was detected in skeletal and smooth muscle tissues, and no expression was observed in other tissues. The tissue specific expression in the developing and adult heart suggests a role in regulating cardiac development and differentiation."	PTPLA	N67509	
10795	Hs.476415	"Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1"	"The specific function of the adaptor protein encoded by this gene is not known; however, it is speculated that it may recruit kinases AKT2 and PIK3 to the cell membrane."	APPL1	N67546	
10796	Hs.656151	Transcribed locus		NA	N67553	
10797	Hs.567410	"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 14"	"POH1 (pad one homolog-1) is a component of the 26S proteasome, a multiprotein complex that degrades proteins targeted for destruction by the ubiquitin pathway (Spataro et al., 1997).[supplied by OMIM]"	PSMD14	N67573	
10798	Hs.471514	Rhomboid domain containing 1		RHBDD1	N67578	
10799	Hs.44720	Zinc finger with KRAB and SCAN domains 4		ZKSCAN4	N67634	
10800	Hs.430606	Citrate synthase	"The protein encoded by this gene is a Krebs tricarboxylic acid cycle enzyme that catalyzes the synthesis of citrate from oxaloacetate and acetyl coenzyme A. The enzyme is found in nearly all cells capable of oxidative metablism. This protein is nuclear encoded and transported into the mitochondrial matrix, where the mature form is found."	CS	N67639	
10801	Hs.442199	Nucleolar protein 8		NOL8	N67678	
10802	Hs.7037	Pallidin homolog (mouse)	"The protein encoded by this gene may play a role in intracellular vesicle trafficking. It interacts with Syntaxin 13 which mediates intracellular membrane fusion. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been determined."	PLDN	N67702	
10803	Hs.44640	Chromosome 9 open reading frame 21		C9orf21	N67762	
10804	Hs.529353	Acyl-CoA synthetase short-chain family member 1	An acetyl-CoA synthetase found in the mitochondrial matrix has been characterized in both cow and mouse. It is primarily a cardiac enzyme which produces acetyl-CoA mainly for the oxidation of acetate. The protein encoded by this gene is structurally similar to the cow and mouse proteins and therefore may serve a similar function in humans.	ACSS1	N67766	
10805	Hs.477700	Debranching enzyme homolog 1 (S. cerevisiae)	"The RNA lariat debranching enzyme, or DBR1, specifically hydrolyzes 2-prime-to-5-prime branched phosphodiester bonds at the branch point of excised lariat intron RNA and converts them into linear molecules.[supplied by OMIM]"	DBR1	N67797	
10806	Data not found			NA	N67808	
10807	Hs.633652	Transcribed locus		NA	N67810	
10808	Hs.166017	Microphthalmia-associated transcription factor	"This gene encodes a transcription factor that contains both basic helix-loop-helix and leucine zipper structural features. It regulates the differentiation and development of melanocytes retinal pigment epithelium and is also responsible for pigment cell-specific transcription of the melanogenesis enzyme genes. Heterozygous mutations in the this gene cause auditory-pigmentary syndromes, such as Waardenburg syndrome type 2 and Tietz syndrome. Alternatively spliced transcript variants encoding different isoforms have been identified."	MITF	N67822	
10809	Hs.335003	Ankyrin repeat domain 11		ANKRD11	N67832	
10810	Hs.595009	Transcribed locus		NA	N67839	
10811	Hs.597241	Transcribed locus		NA	N67861	
10812	Hs.501890	Adenosine monophosphate deaminase (isoform E)		AMPD3	N67869	
10813	Hs.659675	G18 (NAG18)		NA	N67878	
10814	Hs.654802	Erythrocyte membrane protein band 4.1 like 5		EPB41L5	N67889	
10815	Hs.90250	Chromosome 4 open reading frame 31		C4orf31	N67891	
10816	Hs.562598	Transcribed locus		NA	N67894	
10817	Hs.48372	Full length insert cDNA clone YZ87G11		NA	N67972	
10818	Hs.485436	Tau tubulin kinase 1		TTBK1	N67991	
10819	Data not found			NA	N68000	
10820	Hs.440880	S100P binding protein		S100PBP	N68001	
10821	Hs.113150	GTPase activating Rap/RanGAP domain-like 1		GARNL1	N68007	
10822	Hs.406557	CDC-like kinase 4	"The protein encoded by this gene belongs to the CDC2-like protein kinase (CLK) family. This protein kinase can interact with and phosphorylate the serine- and arginine-rich (SR) proteins, which are known to play an important role in the formation of spliceosomes, and thus may be involved in the regulation of alternative splicing. Studies in the Israeli sand rat Psammomys obesus suggested that the ubiquitin-like 5 (UBL5/BEACON), a highly conserved ubiquitin-like protein, may interact with and regulate the activity of this kinase. Multiple alternatively spliced transcript variants have been observed, but the full-length natures of which have not yet been determined."	CLK4	N68012	
10823	Data not found			NA	N68075	
10824	Hs.185172	"Guanine nucleotide binding protein (G protein), beta polypeptide 2"	"Heterotrimeric guanine nucleotide-binding proteins (G proteins), which integrate signals between receptors and effector proteins, are composed of an alpha, a beta, and a gamma subunit. These subunits are encoded by families of related genes. This gene encodes a beta subunit. Beta subunits are important regulators of alpha subunits, as well as of certain signal transduction receptors and effectors. This gene contains a trinucleotide (CCG) repeat length polymorphism in its 5' UTR."	GNB2	N68166	
10825	Data not found			NA	N68173	
10826	Hs.80720	GRB2-associated binding protein 1	"The protein encoded by this gene is a member of the IRS1-like multisubstrate docking protein family. The encoded protein is an important mediator of branching tubulogenesis and plays a central role in cellular growth response, transformation and apoptosis. Two transcript variants encoding different isoforms have been found for this gene."	GAB1	N68193	
10827	Data not found			NA	N68271	
10828	Hs.284137	"RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)"		RMI1	N68390	
10829	Hs.484991	MRNA; cDNA DKFZp781B2436 (from clone DKFZp781B2436)		NA	N68399	
10830	Hs.500409	Glutamate dehydrogenase 1	"L-glutamate dehydrogenase (EC 1.4.1.3) has a central role in nitrogen metabolism in plants and animals. Glutamate dehydrogenase is found in all organisms and catalyzes the oxidative deamination of 1-glutamate to 2-oxoglutarate (Smith et al., 2001). Glutamate, the main substrate of GLUD, is present in brain in concentrations higher than in other organs. In nervous tissue, GLUD appears to function in both the synthesis and the catabolism of glutamate and perhaps in ammonia detoxification (Mavrothalassitis et al., 1988).[supplied by OMIM]"	GLUD1	N68424	
10831	Hs.492859	UDP-N-acteylglucosamine pyrophosphorylase 1		UAP1	N68465	
10832	Hs.424184	Hypothetical protein LOC285074		LOC285074	N68492	
10833	Hs.177275	LYR motif containing 2		LYRM2	N68497	
10834	Hs.592770	FLJ35348		FLJ35348	N68510	
10835	Hs.474436	Hermansky-Pudlak syndrome 4	"Hermansky-Pudlak syndrome is a disorder of organelle biogenesis in which oculocutaneous albinism, bleeding, and pulmonary fibrosis result from defects of melanosomes, platelet dense granules, and lysosomes. Mutations in this gene as well as several others can cause this syndrome. The protein encoded by this gene appears to be important in organelle biogenesis and is similar to the mouse 'light ear' protein. Five transcript variants encoding different isoforms have been found for this gene. In addition, transcript variants utilizing alternative polyadenylation signals exist."	HPS4	N68512	
10836	Hs.49530	Vomeronasal 2 receptor 1 pseudogene		VN2R1P	N68530	
10837	Data not found			NA	N68565	
10838	Hs.659692	Transcribed locus		NA	N68578	
10839	Data not found			NA	N68594	
10840	Hs.446077	"Solute carrier family 38, member 4"	"SLC38A4 is found predominantly in liver and transports both cationic and neutral amino acids. The transport of cationic amino acids by SLC38A4 is Na(+) and pH independent, while the transport of neutral amino acids is Na(+) and pH dependent (Hatanaka et al., 2001).[supplied by OMIM]"	SLC38A4	N68679	
10841	Hs.173946	PAP associated domain containing 1		PAPD1	N68686	
10842	Hs.173030	"CDNA FLJ34013 fis, clone FCBBF2002111"		NA	N68719	
10843	Hs.419760	"Transcribed locus, strongly similar to XP_529691.1 hypothetical protein XP_529691 [Pan troglodytes]"		NA	N68730	
10844	Hs.658642	Full length insert cDNA clone YR74F10		NA	N68738	
10845	Data not found			NA	N68864	
10846	Hs.597256	Transcribed locus		NA	N68970	
10847	Hs.565439	Transcribed locus		NA	N68993	
10848	Hs.584884	"ATPase, Ca++ transporting, type 2C, member 1"	"The protein encoded by this gene belongs to the family of P-type cation transport ATPases. This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of the calcium. Defects in this gene cause Hailey-Hailey disease, an autosomal dominant disorder. Alternatively spliced transcript variants encoding different isoforms have been identified."	ATP2C1	N68998	
10849	Data not found			NA	N69020	
10850	Hs.508524	Calcyclin binding protein	The protein encoded by this gene is a calcyclin binding protein. It may be involved in calcium-dependent ubiquitination and subsequent proteosomal degradation of target proteins. It probably serves as a molecular bridge in ubiquitin E3 complexes and participates in the ubiquitin-mediated degradation of beta-catenin. Two alternatively spliced transcript variants encoding different isoforms have been found for this gene.	CACYBP	N69041	
10851	Hs.651802	"Ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)"	"The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, or E1s, ubiquitin-conjugating enzymes, or E2s, and ubiquitin-protein ligases, or E3s. This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. The encoded protein shares 100% sequence identity with the mouse counterpart. This gene is ubiquitously expressed, with high expression seen in adult muscle. Two alternatively spliced transcript variants encoding distinct isoforms have been found for this gene."	UBE2G2	N69044	
10852	Hs.173859	Frizzled homolog 7 (Drosophila)	"Members of the 'frizzled' gene family encode 7-transmembrane domain proteins that are receptors for Wnt signaling proteins.  The FZD7 protein contains an N-terminal signal sequence, 10 cysteine residues typical of the cysteine-rich extracellular domain of Fz family members, 7 putative transmembrane domains, and an intracellular C-terminal tail with a PDZ domain-binding motif.  FZD7 gene expression may downregulate APC function and enhance beta-catenin-mediated signals in poorly differentiated human esophageal carcinomas."	FZD7	N69049	
10853	Hs.160562	Insulin-like growth factor 1 (somatomedin C)	"The somatomedins, or insulin-like growth factors (IGFs), comprise a family of peptides that play important roles in mammalian growth and development. IGF1 mediates many of the growth-promoting effects of growth hormone (GH; MIM 139250). Early studies showed that growth hormone did not directly stimulate the incorporation of sulfate into cartilage, but rather acted through a serum factor, termed 'sulfation factor,' which later became known as 'somatomedin' (Daughaday et al., 1972). Three main somatomedins have been characterized: somatomedin C (IGF1), somatomedin A (IGF2; MIM 147470), and somatomedin B (MIM 193190) (Rotwein, 1986; Rosenfeld, 2003).[supplied by OMIM]"	IGF1	N69062	
10854	Hs.10441	"Nuclear transcription factor Y, alpha"	"The protein encoded by this gene is one subunit of a trimeric complex, forming a highly conserved transcription factor that binds to CCAAT motifs in the promoter regions in a variety of genes. Subunit A associates with a tight dimer composed of the B and C subunits, resulting in a trimer that binds to DNA with high specificity and affinity. The sequence specific interactions of the complex are made by the A subunit, suggesting a role as the regulatory subunit. In addition, there is evidence of post-transcriptional regulation in this gene product, either by protein degradation or control of translation. Further regulation is represented by alternative splicing in the glutamine-rich activation domain, with clear tissue-specific preferences for the two isoforms."	NFYA	N69088	
10855	Data not found			NA	N69252	
10856	Hs.300624	TAR DNA binding protein	"HIV-1, the causative agent of acquired immunodeficiency syndrome (AIDS), contains an RNA genome that produces a chromosomally integrated DNA during the replicative cycle. Activation of HIV-1 gene expression by the transactivator Tat is dependent on an RNA regulatory element (TAR) located downstream of the transcription initiation site. The protein encoded by this gene is a transcriptional repressor that binds to chromosomally integrated TAR DNA and represses HIV-1 transcription. In addition, this protein regulates alternate splicing of the CFTR gene. A similar pseudogene is present on chromosome 20."	TARDBP	N69283	
10857	Hs.654877	RNA binding motif protein 22		RBM22	N69302	
10858	Hs.649524	Latrophilin 3	"This gene encodes a member of the latrophilin subfamily of G-protein coupled receptors (GPCR). Latrophilins may function in both cell adhesion and signal transduction. In experiments with non-human species, endogenous proteolytic cleavage within a cysteine-rich GPS (G-protein-coupled-receptor proteolysis site) domain resulted in two subunits (a large extracellular N-terminal cell adhesion subunit and a subunit with substantial similarity to the secretin/calcitonin family of GPCRs) being non-covalently bound at the cell membrane."	LPHN3	N69327	
10859	Hs.518265	CDV3 homolog (mouse)		CDV3	N69393	
10860	Hs.397465	Homeodomain interacting protein kinase 2	HIPK2 is a conserved serine/threonine nuclear kinase that interacts with homeodomain transcription factors.[supplied by OMIM]	HIPK2	N69521	
10861	Data not found			NA	N69528	
10862	Hs.597179	Transcribed locus		NA	N69574	
10863	Data not found			NA	N69648	
10864	Hs.591810	Glycosylphosphatidylinositol specific phospholipase D1	"Many proteins are tethered to the extracellular face of eukaryotic plasma membranes by a glycosylphosphatidylinositol (GPI) anchor. The GPI-anchor is a glycolipid found on many blood cells. The protein encoded by this gene is a GPI degrading enzyme. Glycosylphosphatidylinositol specific phospholipase D1 hydrolyzes the inositol phosphate linkage in proteins anchored by phosphatidylinositol glycans, thereby releasing the attached protein from the plasma membrane."	GPLD1	N69672	
10865	Hs.310645	"RAB1A, member RAS oncogene family"		RAB1A	N69689	
10866	Hs.208912	Centromere protein M		CENPM	N69694	
10867	Hs.656695	Full-length cDNA clone CS0DA009YB08 of Neuroblastoma of Homo sapiens (human)		NA	N69764	
10868	Hs.555917	CDNA clone IMAGE:30721737		NA	N69781	
10869	Hs.567522	Transcribed locus		NA	N69850	
10870	Hs.597269	Transcribed locus		NA	N69876	
10871	Hs.520889	Zinc finger protein 273		ZNF273	N69908	
10872	Hs.162852	Hook homolog 3 (Drosophila)	"Hook proteins are cytosolic coiled-coil proteins that contain conserved N-terminal domains, which attach to microtubules, and more divergent C-terminal domains, which mediate binding to organelles. The Drosophila Hook protein is a component of the endocytic compartment.[supplied by OMIM]"	HOOK3	N69962	
10873	Hs.436066	Leukocyte specific transcript 1		LST1	N70057	
10874	Hs.655324	Claudin 18	"CLDN18 belongs to the large claudin family of proteins, which form tight junction strands in epithelial cells (Niimi et al., 2001).[supplied by OMIM]"	CLDN18	N70059	
10875	Data not found			NA	N70072	
10876	Hs.654825	Dedicator of cytokinesis 9		DOCK9	N70078	
10877	Hs.468769	"Transcribed locus, moderately similar to XP_530499.1 hypothetical protein XP_530499 [Pan troglodytes]"		NA	N70088	
10878	Hs.201939	"ATPase, H+ transporting, lysosomal V0 subunit a2"		ATP6V0A2	N70122	
10879	Hs.659716	Transcribed locus		NA	N70203	
10880	Data not found			NA	N70208	
10881	Hs.503222	"RAB6A, member RAS oncogene family"		RAB6A	N70212	
10882	Hs.81073	Fetuin B	"The protein encoded by this gene is a member of the fetuin family, part of the cystatin superfamily of cysteine protease inhibitors. Fetuins have been implicated in several diverse functions, including osteogenesis and bone resorption, regulation of the insulin and hepatocyte growth factor receptors, and response to systemic inflammation. This protein may be secreted by cells."	FETUB	N70226	
