ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
6249	Hs.162754	"Lens intrinsic membrane protein 2, 19kDa"	"The mammalian lens fiber cell membrane contains 5 major proteins ranging from 70 kD to 19 kD in size. The specific function of these proteins is unknown. Some of them have been shown to be involved in the formation of cataracts, e.g., crystalline-gamma-1 (CRYG1; MIM 123660). The second most abundant intrinsic membrane protein of the lens fiber cell is MP19, so named for major lens protein having a molecular weight of 19.5 kD. This protein appears to contain 4 transmembrane domains, is a substrate for cAMP-dependent protein kinase and protein kinase C, and binds with calmodulin. Taken together, these suggest that MP19 functions in some way as a junctional component, possibly involved with lens cell communication. It has been shown to be involved with cataractogenesis.[supplied by OMIM]"	LIM2	AA621457	
6250	Hs.591474	Angiopoietin-like 1	"Angiopoietins are members of the vascular endothelial growth factor family and the only known growth factors largely specific for vascular endothelium. Angiopoietin-1, angiopoietin-2, and angiopoietin-4 participate in the formation of blood vessels. The protein encoded by this gene is another member of the angiopoietin family that is widely expressed in adult tissues with mRNA levels highest in highly vascularized tissues. This protein was found to be a secretory protein that does not act as an endothelial cell mitogen in vitro."	ANGPTL1	AA621478	
6251	Hs.534190	Chromosome 9 open reading frame 85		C9orf85	AA621480	
6252	Data not found			NA	AA621512	
6253	Hs.522895	Ras association (RalGDS/AF-6) domain family 4	"The function of this gene has not yet been determined but may involve a role in tumor suppression. Alternative splicing of this gene results in several transcript variants; however, not all variants have been fully described."	RASSF4	AA621535	
6254	Data not found			NA	AA621644	
6255	Hs.564698	Transcribed locus		NA	AA621665	
6256	Hs.584286	Transcribed locus		NA	AA621750	
6257	Data not found			NA	AA621761	
6258	Hs.411490	"Family with sequence similarity 36, member A"		FAM36A	AA625551	
6259	Hs.600678	Transcribed locus		NA	AA625552	
6260	Data not found			NA	AA625555	
6261	Hs.143937	Transcribed locus		NA	AA625558	
6262	Hs.20142	Chromosome 14 open reading frame 142		C14orf142	AA625570	
6263	Hs.356766	Chromosome 20 open reading frame 199		C20orf199	AA625574	
6264	Hs.41101	Coiled-coil domain containing 110		CCDC110	AA625586	
6265	Hs.106005	Chromosome 14 open reading frame 131		C14orf131	AA625621	
6266	Hs.522817	B-cell receptor-associated protein 31		BCAP31	AA625628	
6267	Hs.311640	Ribosomal protein S27a	"Ubiquitin, a highly conserved protein that has a major role in targeting cellular proteins for degradation by the 26S proteosome, is synthesized as a precursor protein consisting of either polyubiquitin chains or a single ubiquitin fused to an unrelated protein. This gene encodes a fusion protein consisting of ubiquitin at the N terminus and ribosomal protein S27a at the C terminus. When expressed in yeast, the protein is post-translationally processed, generating free ubiquitin monomer and ribosomal protein S27a. Ribosomal protein S27a is a component of the 40S subunit of the ribosome and belongs to the S27AE family of ribosomal proteins. It contains C4-type zinc finger domains and is located in the cytoplasm. Pseudogenes derived from this gene are present in the genome. As with ribosomal protein S27a, ribosomal protein L40 is also synthesized as a fusion protein with ubiquitin; similarly, ribosomal protein S30 is synthesized as a fusion protein with the ubiquitin-like protein fubi."	RPS27A	AA625632	
6268	Hs.182825	Ribosomal protein L35	"Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L29P family of ribosomal proteins. It is located in the cytoplasm. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome."	RPL35	AA625634	
6269	Hs.516036	Tripartite motif-containing 54	"The protein encoded by this gene contains a RING finger motif and is highly similar to the ring finger proteins RNF28/MURF1 and RNF29/MURF2. In vitro studies demonstrated that this protein, RNF28, and RNF29 form heterodimers, which may be important for the regulation of titin kinase and microtubule-dependent signal pathways in striated muscles. Alternatively spliced transcript variants encoding distinct isoforms have been reported."	TRIM54	AA625641	
6270	Hs.600683	Transcribed locus		NA	AA625642	
